26-07-2023 09:18:58	Looking for BUSCO runs in /mnt/shared/scratch/jnprice/pseudomonas/busco
26-07-2023 09:18:58	Found 8 BUSCO directories:
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_002905875.2_P_amygdali/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000007805.1_P_syringae/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000012205.1_P_savastanoi/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_002905835.1_P_syringae/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000007565.2_P_putida/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_900184295.1_P_viridiflava/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000012245.1_P_syringae/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_002905795.2_P_avellanae/run_bacteria_odb10

26-07-2023 09:18:58	Counting BUSCO proteins:
Name	Complete and single-copy BUSCOs
BUSCO_GCA_002905875.2_P_amygdali 121
BUSCO_GCA_000007805.1_P_syringae 123
BUSCO_GCA_000012205.1_P_savastanoi 124
BUSCO_GCA_002905835.1_P_syringae 124
BUSCO_GCA_000007565.2_P_putida 124
BUSCO_GCA_900184295.1_P_viridiflava 124
BUSCO_GCA_000012245.1_P_syringae 123
BUSCO_GCA_002905795.2_P_avellanae 124

BUSCO protein	#Species	%Species
1776954at2	8	100.00
1971380at2	8	100.00
1830156at2	8	100.00
95696at2	8	100.00
1069591at2	8	100.00
1720952at2	8	100.00
1990650at2	8	100.00
1676462at2	8	100.00
1623045at2	8	100.00
1937072at2	8	100.00
1702697at2	8	100.00
1504821at2	8	100.00
430176at2	8	100.00
1698718at2	8	100.00
1838961at2	8	100.00
1822215at2	8	100.00
1211060at2	8	100.00
1671455at2	8	100.00
1760144at2	8	100.00
1502854at2	8	100.00
182107at2	8	100.00
1932144at2	8	100.00
1456375at2	8	100.00
2005443at2	8	100.00
1049662at2	8	100.00
1666043at2	8	100.00
1398618at2	8	100.00
1766414at2	8	100.00
505485at2	8	100.00
26038at2	8	100.00
1036075at2	8	100.00
1346419at2	8	100.00
1151822at2	8	100.00
662686at2	8	100.00
1093223at2	8	100.00
1074831at2	8	100.00
1595498at2	8	100.00
1772647at2	8	100.00
1054741at2	8	100.00
1978865at2	8	100.00
1959318at2	8	100.00
1786618at2	8	100.00
1701531at2	8	100.00
1257362at2	8	100.00
4421at2	8	100.00
1846503at2	8	100.00
1692188at2	8	100.00
1674344at2	8	100.00
1822695at2	8	100.00
2035880at2	8	100.00
143460at2	8	100.00
1080436at2	7	87.50
1574817at2	7	87.50
533698at2	5	62.50

26-07-2023 09:18:58	121 BUSCO proteins were found to be complete and single-copy in all species
['1490892at2', '267682at2', '1270636at2', '1893906at2', '2046660at2', '1904463at2', '1491686at2', '1661836at2', '1505038at2', '1540940at2', '469058at2', '874197at2', '402899at2', '504464at2', '1844275at2', '1937493at2', '1906715at2', '984717at2', '2063644at2', '1949059at2', '1272633at2', '2075502at2', '761140at2', '1166299at2', '1590629at2', '1799923at2', '981870at2', '1266295at2', '223233at2', '1043239at2', '923547at2', '1132353at2', '1874945at2', '932854at2', '219876at2', '961486at2', '462069at2', '665824at2', '841869at2', '226836at2', '1827334at2', '1713391at2', '91428at2', '1497415at2', '932993at2', '1470978at2', '1592033at2', '2012682at2', '1940575at2', '1827295at2', '1890943at2', '1990141at2', '2040741at2', '837522at2', '1419877at2', '353391at2', '1842956at2', '1707228at2', '1567535at2', '776861at2', '9601at2', '1572673at2', '1758685at2', '232152at2', '1395197at2', '1024388at2', '1009041at2', '2066663at2', '384865at2', '1963491at2', '1776954at2', '1971380at2', '1830156at2', '95696at2', '1069591at2', '1720952at2', '1990650at2', '1676462at2', '1623045at2', '1937072at2', '1702697at2', '1504821at2', '430176at2', '1698718at2', '1838961at2', '1822215at2', '1211060at2', '1671455at2', '1760144at2', '1502854at2', '182107at2', '1932144at2', '1456375at2', '2005443at2', '1049662at2', '1666043at2', '1398618at2', '1766414at2', '505485at2', '26038at2', '1036075at2', '1346419at2', '1151822at2', '662686at2', '1093223at2', '1074831at2', '1595498at2', '1772647at2', '1054741at2', '1978865at2', '1959318at2', '1786618at2', '1701531at2', '1257362at2', '4421at2', '1846503at2', '1692188at2', '1674344at2', '1822695at2', '2035880at2', '143460at2']

26-07-2023 09:18:58	Printing presence/absence matrix of all complete single-copy BUSCOs (!NOTE THIS EXCLUDES DUPLICATED/FRAGMENTED BUSCOS!)
1490892at2	Y	Y	Y	Y	Y	Y	Y	Y
267682at2	Y	Y	Y	Y	Y	Y	Y	Y
1270636at2	Y	Y	Y	Y	Y	Y	Y	Y
1893906at2	Y	Y	Y	Y	Y	Y	Y	Y
2046660at2	Y	Y	Y	Y	Y	Y	Y	Y
1904463at2	Y	Y	Y	Y	Y	Y	Y	Y
1491686at2	Y	Y	Y	Y	Y	Y	Y	Y
1661836at2	Y	Y	Y	Y	Y	Y	Y	Y
1505038at2	Y	Y	Y	Y	Y	Y	Y	Y
1540940at2	Y	Y	Y	Y	Y	Y	Y	Y
469058at2	Y	Y	Y	Y	Y	Y	Y	Y
874197at2	Y	Y	Y	Y	Y	Y	Y	Y
402899at2	Y	Y	Y	Y	Y	Y	Y	Y
504464at2	Y	Y	Y	Y	Y	Y	Y	Y
1844275at2	Y	Y	Y	Y	Y	Y	Y	Y
1937493at2	Y	Y	Y	Y	Y	Y	Y	Y
1906715at2	Y	Y	Y	Y	Y	Y	Y	Y
984717at2	Y	Y	Y	Y	Y	Y	Y	Y
2063644at2	Y	Y	Y	Y	Y	Y	Y	Y
1949059at2	Y	Y	Y	Y	Y	Y	Y	Y
1272633at2	Y	Y	Y	Y	Y	Y	Y	Y
2075502at2	Y	Y	Y	Y	Y	Y	Y	Y
761140at2	Y	Y	Y	Y	Y	Y	Y	Y
1166299at2	Y	Y	Y	Y	Y	Y	Y	Y
1590629at2	Y	Y	Y	Y	Y	Y	Y	Y
1799923at2	Y	Y	Y	Y	Y	Y	Y	Y
981870at2	Y	Y	Y	Y	Y	Y	Y	Y
1266295at2	Y	Y	Y	Y	Y	Y	Y	Y
223233at2	Y	Y	Y	Y	Y	Y	Y	Y
1080436at2	N	Y	Y	Y	Y	Y	Y	Y
1043239at2	Y	Y	Y	Y	Y	Y	Y	Y
923547at2	Y	Y	Y	Y	Y	Y	Y	Y
1132353at2	Y	Y	Y	Y	Y	Y	Y	Y
1874945at2	Y	Y	Y	Y	Y	Y	Y	Y
932854at2	Y	Y	Y	Y	Y	Y	Y	Y
219876at2	Y	Y	Y	Y	Y	Y	Y	Y
961486at2	Y	Y	Y	Y	Y	Y	Y	Y
462069at2	Y	Y	Y	Y	Y	Y	Y	Y
665824at2	Y	Y	Y	Y	Y	Y	Y	Y
841869at2	Y	Y	Y	Y	Y	Y	Y	Y
226836at2	Y	Y	Y	Y	Y	Y	Y	Y
1827334at2	Y	Y	Y	Y	Y	Y	Y	Y
1713391at2	Y	Y	Y	Y	Y	Y	Y	Y
91428at2	Y	Y	Y	Y	Y	Y	Y	Y
1497415at2	Y	Y	Y	Y	Y	Y	Y	Y
932993at2	Y	Y	Y	Y	Y	Y	Y	Y
1470978at2	Y	Y	Y	Y	Y	Y	Y	Y
1592033at2	Y	Y	Y	Y	Y	Y	Y	Y
2012682at2	Y	Y	Y	Y	Y	Y	Y	Y
1940575at2	Y	Y	Y	Y	Y	Y	Y	Y
1827295at2	Y	Y	Y	Y	Y	Y	Y	Y
1890943at2	Y	Y	Y	Y	Y	Y	Y	Y
1990141at2	Y	Y	Y	Y	Y	Y	Y	Y
2040741at2	Y	Y	Y	Y	Y	Y	Y	Y
837522at2	Y	Y	Y	Y	Y	Y	Y	Y
1419877at2	Y	Y	Y	Y	Y	Y	Y	Y
353391at2	Y	Y	Y	Y	Y	Y	Y	Y
1842956at2	Y	Y	Y	Y	Y	Y	Y	Y
1707228at2	Y	Y	Y	Y	Y	Y	Y	Y
1567535at2	Y	Y	Y	Y	Y	Y	Y	Y
776861at2	Y	Y	Y	Y	Y	Y	Y	Y
9601at2	Y	Y	Y	Y	Y	Y	Y	Y
1572673at2	Y	Y	Y	Y	Y	Y	Y	Y
1758685at2	Y	Y	Y	Y	Y	Y	Y	Y
232152at2	Y	Y	Y	Y	Y	Y	Y	Y
1395197at2	Y	Y	Y	Y	Y	Y	Y	Y
1024388at2	Y	Y	Y	Y	Y	Y	Y	Y
1009041at2	Y	Y	Y	Y	Y	Y	Y	Y
2066663at2	Y	Y	Y	Y	Y	Y	Y	Y
384865at2	Y	Y	Y	Y	Y	Y	Y	Y
1963491at2	Y	Y	Y	Y	Y	Y	Y	Y
1776954at2	Y	Y	Y	Y	Y	Y	Y	Y
1971380at2	Y	Y	Y	Y	Y	Y	Y	Y
1830156at2	Y	Y	Y	Y	Y	Y	Y	Y
95696at2	Y	Y	Y	Y	Y	Y	Y	Y
1069591at2	Y	Y	Y	Y	Y	Y	Y	Y
533698at2	N	N	Y	Y	Y	Y	N	Y
1720952at2	Y	Y	Y	Y	Y	Y	Y	Y
1990650at2	Y	Y	Y	Y	Y	Y	Y	Y
1676462at2	Y	Y	Y	Y	Y	Y	Y	Y
1623045at2	Y	Y	Y	Y	Y	Y	Y	Y
1937072at2	Y	Y	Y	Y	Y	Y	Y	Y
1702697at2	Y	Y	Y	Y	Y	Y	Y	Y
1504821at2	Y	Y	Y	Y	Y	Y	Y	Y
430176at2	Y	Y	Y	Y	Y	Y	Y	Y
1698718at2	Y	Y	Y	Y	Y	Y	Y	Y
1838961at2	Y	Y	Y	Y	Y	Y	Y	Y
1822215at2	Y	Y	Y	Y	Y	Y	Y	Y
1211060at2	Y	Y	Y	Y	Y	Y	Y	Y
1671455at2	Y	Y	Y	Y	Y	Y	Y	Y
1760144at2	Y	Y	Y	Y	Y	Y	Y	Y
1574817at2	N	Y	Y	Y	Y	Y	Y	Y
1502854at2	Y	Y	Y	Y	Y	Y	Y	Y
182107at2	Y	Y	Y	Y	Y	Y	Y	Y
1932144at2	Y	Y	Y	Y	Y	Y	Y	Y
1456375at2	Y	Y	Y	Y	Y	Y	Y	Y
2005443at2	Y	Y	Y	Y	Y	Y	Y	Y
1049662at2	Y	Y	Y	Y	Y	Y	Y	Y
1666043at2	Y	Y	Y	Y	Y	Y	Y	Y
1398618at2	Y	Y	Y	Y	Y	Y	Y	Y
1766414at2	Y	Y	Y	Y	Y	Y	Y	Y
505485at2	Y	Y	Y	Y	Y	Y	Y	Y
26038at2	Y	Y	Y	Y	Y	Y	Y	Y
1036075at2	Y	Y	Y	Y	Y	Y	Y	Y
1346419at2	Y	Y	Y	Y	Y	Y	Y	Y
1151822at2	Y	Y	Y	Y	Y	Y	Y	Y
662686at2	Y	Y	Y	Y	Y	Y	Y	Y
1093223at2	Y	Y	Y	Y	Y	Y	Y	Y
1074831at2	Y	Y	Y	Y	Y	Y	Y	Y
1595498at2	Y	Y	Y	Y	Y	Y	Y	Y
1772647at2	Y	Y	Y	Y	Y	Y	Y	Y
1054741at2	Y	Y	Y	Y	Y	Y	Y	Y
1978865at2	Y	Y	Y	Y	Y	Y	Y	Y
1959318at2	Y	Y	Y	Y	Y	Y	Y	Y
1786618at2	Y	Y	Y	Y	Y	Y	Y	Y
1701531at2	Y	Y	Y	Y	Y	Y	Y	Y
1257362at2	Y	Y	Y	Y	Y	Y	Y	Y
4421at2	Y	Y	Y	Y	Y	Y	Y	Y
1846503at2	Y	Y	Y	Y	Y	Y	Y	Y
1692188at2	Y	Y	Y	Y	Y	Y	Y	Y
1674344at2	Y	Y	Y	Y	Y	Y	Y	Y
1822695at2	Y	Y	Y	Y	Y	Y	Y	Y
2035880at2	Y	Y	Y	Y	Y	Y	Y	Y
143460at2	Y	Y	Y	Y	Y	Y	Y	Y

26-07-2023 09:18:58	Complete
